size,amount
1034,1
1036,1
1041,1
1044,1
1050,1
3099,1
1052,1
1056,1
1060,1
1066,1
1071,1
1076,1
1100,2
1105,2
1108,1
1123,1
1144,1
1179,1
1192,1
14756940,1
1208,1
1214,1
1223,2
1230,1
1231,1
1258,1
1270,1
1271,1
1287,1
1293,1
1296,1
1307,1
1312,1
1316,1
1321,1
1323,1
1329,1
1332,1
1337,1
1364,1
1383,1
1391,1
1405,1
1425,1
1432,1
3527,1
1529,1
17926,1
1556,1
13856,1
1580,1
1588,1
1635,1
1646,1
1685,1
1715,1
1823,1
1938,1
2024,1
